# Urban Hijazi cardinals, the values whose word differs from the Standard Arabic oblique form.
# Pronunciation: Margaret K. Omar, Saudi Arabic Basic Course: Urban Hijazi Dialect, Foreign Service Institute, 1975, in the course's own transcription (9 is ʕ, H is ḥ).
# Spelling: the form written in the human transcripts of the SADA corpus of Saudi broadcast speech,
# counted whole-word with an optional attached article or conjunction, with that count on the row
# (SADA n). The tokenisation is stated because the three defensible ones differ by more than a factor
# of two on the same spelling, and an unstated method makes a correct count indistinguishable from a
# wrong one.
# value	form	source
2	اتنين	Omar 1975 p. 59 itneen; SADA n=79
3	تلاتة	Omar 1975 p. 59 talaata; SADA n=69
8	تمنية	Omar 1975 p. 59 tamanya; SADA n=12
11	إحدعش	Omar 1975 p. 59 iHda9š; SADA n=22
12	اتنعش	Omar 1975 p. 59 itna9š; SADA n=1
13	تلاطعش	Omar 1975 p. 68 talaṭṭa9š; SADA n=1
14	اربعطعش	Omar 1975 p. 68 arba9ṭa9š; SADA n=12
15	خمسطعش	Omar 1975 p. 68 xamasṭa9š; SADA n=36
16	سطعش	Omar 1975 p. 68 siṭṭa9š; SADA n=5
17	سبعطعش	Omar 1975 p. 68 saba9ṭa9š; SADA n=28
18	تمنطعش	Omar 1975 p. 68 tamanṭa9š; SADA n=2
19	تسعطعش	Omar 1975 p. 68 tisa9ṭa9š; SADA n=11
30	تلاتين	Omar 1975 p. 68 talaatiin; SADA n=26
80	تمانين	Omar 1975 p. 68 tamaniin; SADA n=14
100	مية	Omar 1975 p. 68 miyya; SADA n=2154
200	ميتين	Omar 1975 p. 69 miyyateen, "a common alternate form is /miiteen/"; SADA n=800
300	تلتمية	Omar 1975 p. 69 talatmiyya; SADA n=13
400	اربعمية	Omar 1975 p. 69 arba9miyya; SADA n=70
500	خمسمية	Omar 1975 p. 69 xamsmiyya; SADA n=514
600	ستمية	Omar 1975 p. 69 sittmiyya; SADA n=37
700	سبعمية	Omar 1975 p. 69 sab9miyya; SADA n=79
800	تمنمية	Omar 1975 p. 69 tamanmiyya; SADA n=1
900	تسعمية	Omar 1975 p. 69 tis9miyya; SADA n=110
