key	vocalization	source	gloss
مو	مُو	erwin1963	not (predicate negator)
هاذا	هَاذَا	erwin1963	this (m.)
هاي	هَاي	erwin1963	this (f.)
هذولة	هَذَوْلَة	erwin1963	these
هاذاك	هَاذَاك	erwin1963	that (m.)
اللي	اللِّي	erwin1963	relative pronoun
شنو	شْنُو	erwin1963	what
منو	مِنُو	erwin1963	who
وين	وِين	erwin1963	where
ليش	لِيش	erwin1963	why
شلون	شْلُون	erwin1963	how
شوكت	شْوَكِت	erwin1963	when
شقد	شْقَد	erwin1963	how much/many
هسة	هَسَّة	erwin1963	now
هسا	هَسَّا	erwin1963	now (variant)
مال	مَال	erwin1963	of (genitive exponent)
زين	زِين	erwin1963	good; nice
هواية	هْوَايَة	erwin1963	a lot; very
بس	بَس	erwin1963	only; but
هم	هَم	erwin1963	also; too
اليوم	اَلْيُوم	erwin1963	today
البارحة	الْبَارْحَة	erwin1963	yesterday
باچر	بَاچِر	erwin1963	tomorrow
دا	دَا	erwin1963	progressive aspect marker
رح	رَح	erwin1963	future marker
هيچ	هِيچ	erwin1963	like this; so
مثل	مِثِل	erwin1963	like; as
احنا	اِحْنَا	erwin1963	we
انت	اِنْتَ	erwin1963	you (m.)
