key	vocalization	source	gloss
متاع	مْتَاع	singer1984	of (genitive exponent)
برشة	بَرْشَة	gibson2009	a lot; very
موش	مُوش	singer1984	not (predicate negator)
توة	تَوَّة	singer1984	now
فمة	فَمَّة	singer1984	there is/are
قداش	قَدَّاش	singer1984	how much/many
بقداش	بِقَدَّاش	singer1984	for how much
وقتاش	وَقْتَاش	singer1984	when
شنوة	شْنُوَّة	talmoudi1980	what
علاش	عْلَاش	singer1984	why
زادة	زَادَة	gibson2009	also; too
دغري	دُغْرِي	singer1984	straight ahead
يعيشك	يَعَيْشِك	gibson2009	please; thank you
غدوة	غُدْوَة	singer1984	tomorrow
باهية	بَاهْيَة	gibson2009	good (f.)
زوز	زُوز	singer1984	two
