key	vocalization	source	gloss
ما	مَا	watson2002	not (preverbal negator)
ماشي	مَاشِي	heath2002	not / non- (predicate negator)
شي	شِي	heath2002	some; thing (indefinite/negation particle)
واش	وَاش	marcais1977	interrogative particle / what
أش	أَش	heath2002	what
شنو	شْنُو	heath2002	what
شكون	شْكُون	heath2002	who
علاش	عْلَاش	marcais1977	why
كيفاش	كِيفَاش	heath2002	how
فين	فِين	heath2002	where
وين	وِين	marcais1977	where
شحال	شْحَال	heath2002	how much/many
هاد	هَاد	heath2002	this/these (proclitic demonstrative)
هادا	هَادَا	heath2002	this (m.)
هاذا	هَاذَا	watson2002	this (m., classicizing)
هادي	هَادِي	heath2002	this (f.)
هاداك	هَادَاك	heath2002	that (m.)
هاذاك	هَاذَاك	watson2002	that (m., classicizing)
داك	دَاك	marcais1977	that (m.)
ديك	دِيك	marcais1977	that (f.)
اللي	اللِّي	heath2002	relative pronoun
الي	الِّي	heath2002	relative pronoun (variant)
باش	بَاش	heath2002	in order to; that (complementizer)
غير	غِير	heath2002	only; just
بزاف	بْزَّاف	heath2002	a lot; very
راه	رَاه	marcais1977	presentative particle (m.)
راك	رَاك	marcais1977	presentative + 2sg
راني	رَانِي	marcais1977	presentative + 1sg
كي	كِي	marcais1977	how; like; when
كيما	كِيمَا	heath2002	like; as
عند	عَنْد	watson2002	at; to have (preposition)
عندي	عَنْدِي	watson2002	I have
عندك	عَنْدَك	watson2002	you have
اليوم	الْيُوم	heath2002	today
البارح	الْبَارِح	heath2002	yesterday
لباس	لَبَاس	marcais1977	fine; well (greeting response)
باهي	بَاهِي	gibson2009	good; fine
مليح	مْلِيح	marcais1902	good; fine
زوين	زْوِين	heath2002	nice; pretty
