key	vocalization	source	gloss
مش	مِش	badawi-hinds1986	not (predicate negator)
ده	دِه	badawi-hinds1986	this (m.)
دي	دِي	badawi-hinds1986	this (f.)
دول	دُول	badawi-hinds1986	these
اللي	اِللِّي	badawi-hinds1986	relative pronoun
ازي	اِزَّيّ	badawi-hinds1986	how
ازيك	اِزَّيَّك	badawi-hinds1986	how are you (m.)
امتى	اِمْتَى	badawi-hinds1986	when
فين	فِين	badawi-hinds1986	where
ليه	لِيه	badawi-hinds1986	why
ايه	اِيه	badawi-hinds1986	what
مين	مِين	badawi-hinds1986	who
بكام	بِكَام	badawi-hinds1986	for how much
كام	كَام	badawi-hinds1986	how much/many
دلوقتي	دِلْوَقْتِي	badawi-hinds1986	now
دلوقت	دِلْوَقْت	badawi-hinds1986	now (variant)
بتاع	بِتَاع	badawi-hinds1986	of (genitive exponent)
عايز	عَايِز	badawi-hinds1986	wanting (active participle)
عاوز	عَاوِز	badawi-hinds1986	wanting (variant)
كويس	كُوَيِّس	badawi-hinds1986	good; fine
انهاردة	اِنَّهَارْدَة	badawi-hinds1986	today
امبارح	اِمْبَارِح	badawi-hinds1986	yesterday
بكرة	بُكْرَة	badawi-hinds1986	tomorrow
بس	بَسّ	badawi-hinds1986	only; but
خالص	خَالِص	badawi-hinds1986	at all; completely
برضه	بَرْضُه	badawi-hinds1986	also; still
عشان	عَشَان	badawi-hinds1986	because; in order to
علشان	عَلَشَان	badawi-hinds1986	because; in order to
زي	زَيّ	badawi-hinds1986	like; as
احنا	اِحْنَا	badawi-hinds1986	we
انت	اِنْتَ	badawi-hinds1986	you (m.)
هو	هُوَّ	badawi-hinds1986	he
هي	هِيَّ	badawi-hinds1986	she
شوية	شْوَيَّة	badawi-hinds1986	a little
كده	كِدَه	badawi-hinds1986	like this; so
