key	vocalization	source	gloss
مو	مُو	ingham1994	not (predicate negator)
مهوب	مَهُوب	ingham1994	not (emphatic negator)
هذا	هَذَا	ingham1994	this (m.)
هذي	هَذِي	ingham1994	this (f.)
هذولا	هَٰذُولَا	ingham1994	these
هذاك	هَذَاك	ingham1994	that (m.)
اللي	اللِّي	ingham1994	relative pronoun
وش	وِش	ingham1994	what
وشلون	وِشْلُون	ingham1994	how
من	مِن	ingham1994	who
وين	وِين	ingham1994	where
ليش	لِيش	ingham1994	why
كيف	كِيف	ingham1994	how
متى	مَتَى	ingham1994	when
كم	كَم	ingham1994	how much/many
الحين	الْحِين	ingham1994	now
حق	حَقّ	ingham1994	of; belonging to
زين	زَيْن	ingham1994	good; fine
واجد	وَاجِد	ingham1994	a lot; very
بس	بَس	ingham1994	only; but
بعد	بَعَد	ingham1994	also; still
اليوم	الْيُوم	ingham1994	today
أمس	أَمْس	ingham1994	yesterday
بكرة	بُكْرَة	ingham1994	tomorrow
كذي	كِذِي	ingham1994	like this; so
مثل	مِثِل	ingham1994	like; as
قاعد	قَاعِد	ingham1994	progressive aspect marker (participle)
احنا	احْنَا	ingham1994	we
انت	اِنْتَ	ingham1994	you (m.)
