key	vocalization	source	gloss
مو	مُو	cowell1964	not (predicate negator)
مش	مِش	cowell1964	not (predicate negator, variant)
هاد	هَاد	cowell1964	this (m.)
هادا	هَادَا	cowell1964	this (m., full)
هي	هَيْ	cowell1964	this (f.)
هادي	هَادِي	cowell1964	this (f., full)
هدول	هَدُول	cowell1964	these
هاداك	هَادَاك	cowell1964	that (m.)
يلي	يَلِّي	cowell1964	relative pronoun
اللي	اللِّي	cowell1964	relative pronoun (variant)
شو	شُو	cowell1964	what
مين	مِين	cowell1964	who
وين	وِين	cowell1964	where
ليش	لِيش	cowell1964	why
كيف	كِيف	cowell1964	how
ايمتى	اِيمْتَى	cowell1964	when
قديش	قَدَّيْش	cowell1964	how much/many
أديش	أَدَّيْش	cowell1964	how much/many (variant)
هلق	هَلَّق	cowell1964	now
تبع	تَبَع	cowell1964	of (genitive exponent)
منيح	مْنِيح	cowell1964	good; fine
كتير	كْتِير	cowell1964	a lot; very
بس	بَس	cowell1964	only; but
كمان	كَمَان	cowell1964	also; too
هليوم	هَلْيُوم	cowell1964	today
مبارح	مْبَارِح	cowell1964	yesterday
بكرا	بُكْرَا	cowell1964	tomorrow
عم	عَم	cowell1964	progressive aspect marker
رح	رَح	cowell1964	future marker
لسا	لَسَّا	cowell1964	still; yet
هيك	هَيْك	cowell1964	like this; so
متل	مِتْل	cowell1964	like; as
شوي	شْوَيّ	cowell1964	a little
