id	sentence	raw	ipa	gloss_en	cs_words	notes	pipeline_status
ar-AE-cs-001	أَبَا أَرْسِل email لِلْمُدِير الْحِين	أبا أرسل email للمدير الحين	ˈʔabaː ˈʔarsil imeːl lilmuˈdiːr alˈħiːn	I want to send an email to the manager now	email	[tech] email→imeːl (loan into Gulf /eː/). أَبَا 'I want' Emirati Emirati frame (szreder_derrick2023). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-AE-cs-002	عِنْدِي meeting مُهِمّ بُكْرَة وِيَا manager	عندي meeting مهم بكرة ويا manager	ˈʕindiː miːtinɡ muˈhimm ˈbukra ˈwijaː manadʒar	I have an important meeting tomorrow with a manager	meeting;manager	[work] meeting→miːtinɡ (/ŋ/→[nɡ]); manager→manadʒar (loan /dʒ/→[dʒ] Gulf ǧīm — contrast Cairene [ɡ]). وِيَا 'with' Emirati frame (szreder_derrick2023). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-AE-cs-003	project لِسَّه مَا خَلَّص وِالتَّسْلِيم بُكْرَة	project لسه ما خلص والتسليم بكرة	brudʒikt ˈlissah ˈmaː ˈxallɑsˤ wittasˈliːm ˈbukra	the project is not finished yet and delivery is tomorrow	project	[work] project→brudʒikt (/p/→[b]; loan /dʒ/→[dʒ]). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-AE-cs-004	laptop مَالِي وِقَع وِالشَّاشَة تْكَسَّرَت	laptop مالي وقع والشاشة تكسرت	labtub ˈmaːliː ˈwiɡaʕ wiʃˈʃaːʃa ˈtkassarat	my laptop fell and the screen broke	laptop	[tech] laptop→labtub (/p/→[b]). مَالِي genitive Emirati frame (szreder_derrick2023). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-AE-cs-005	حَصَّلْت video وَايِد زَين عَلَى online	حصلت video وايد زين على online	ħɑsˤˈsˤɑlt fidiu ˈwaːjid ˈzeːn ˈʕalaː unlin	I found a very nice video online	video;online	[daily] video→fidiu (/v/→[f]); online→unlin. حَصَّلْت 'I found' Emirati, وَايِد intensifier Emirati frame (szreder_derrick2023). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-AE-cs-006	وَدِّيت car عَلَى service الْحِين	وديت car على service الحين	wadˈdiːt kaːr ˈʕalaː sarfis alˈħiːn	I took the car for a service now	car;service	[automotive] car→kaːr; service→sarfis (/v/→[f]). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-AE-cs-007	فِي offer زَين الْيَوم وْ discount وَايِد	في offer زين اليوم و discount وايد	ˈfiː ufar ˈzeːn alˈjoːm w disawnt ˈwaːjid	there is a good offer today and a big discount	offer;discount	[commerce] offer→ufar; discount→disawnt. زَين 'good' Emirati frame (szreder_derrick2023). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-AE-cs-008	مُو عَارِف بَسّ أَنَا think هَذَا model غَالِي	مو عارف بس أنا think هذا model غالي	ˈmuː ˈʕaːrif ˈbass ˈʔanaː θink ˈhaðaː mudil ˈɣaːliː	I don't know but I think this model is expensive	think;model	[daily] think→θink (Gulf interdental retention — contrast Cairene [t]); model→mudil. مُو negator Emirati frame (szreder_derrick2023). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-AE-cs-009	نِسِيت password وْ wifi بَطِيء	نسيت password و wifi بطيء	niˈsiːt baswuːrd w wifi bɑˈtˤiːʔ	I forgot the password and the wifi is slow	password;wifi	[tech] password→baswuːrd (/p/→[b]); wifi→wifi. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-AE-cs-010	printer بَاظ وْ charger مُو شَغَّال	printer باظ و charger مو شغال	brintar ˈbɑːðˤ w ʃaːrdʒar ˈmuː ʃaɣˈɣaːl	the printer broke and the charger doesn't work	printer;charger	[tech] printer→brintar (/p/→[b]); charger→ʃaːrdʒar (loan /dʒ/→[dʒ]). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-AE-cs-011	delivery مِتْأَخِّر وِالدَّفْع card	delivery متأخر والدفع card	dilifari mitˈʔaxxir widˈdafʕ kaːrd	the delivery is late and payment is by card	delivery;card	[commerce] delivery→dilifari (/v/→[f]); card→kaːrd. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-AE-cs-012	نْشُوفَك فِي weekend إِنْ شَاءَ الله	نشوفك في weekend إن شاء الله	ˈnʃuːfak ˈfiː wiːkind ˈʔin ˈʃaːʔa ˈallah	we'll see you on the weekend, God willing	weekend	[daily] weekend→wiːkind. Emirati frame (szreder_derrick2023). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-AE-cs-013	دَفَعْت كَاش مُو بِالْكَارت	دفعت كاش مو بالكارت	daˈfaʕt ˈkaːʃ ˈmuː bilˈkaːrt	I paid cash not by card	كَاش	[commerce] loan كاش 'cash' → kaːʃ; matches attested Gulf [kaːʃ] (Holes 2004). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-AE-cs-014	التَّاير فِيه بَنْشَر لَازِم أُصَلِّحُه	التاير فيه بنشر لازم أصلحه	atˈtaʔajir ˈfiːh ˈbanʃar ˈlaːzim ʔuˈsˤɑlliħuh	the tyre has a puncture, I have to fix it	بَنْشَر	[automotive] loan بنشر 'puncture' → banʃar; matches attested [banʃar] (Holes 2004). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-AE-cs-015	وَدِّيت السَّيَّارَة سَرْفِيس الصُّبْح	وديت السيارة سرفيس الصبح	wadˈdiːt assajˈjaːra sarˈfiːs ɑsˤˈsˤubħ	I took the car for a service this morning	سَرْفِيس	[automotive] loan سرفيس 'service (station)' → saˈrfiːs (/v/→[f]); matches attested Gulf [sarfiːs] (Holes 2004). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-AE-cs-016	الْمُوبَايِل مَالِي خَرْبَان	الموبايل مالي خربان	ilmoˈbaːjil ˈmaːliː xaˈrbaːn	my mobile is broken	الْمُوبَايِل	[tech] loan موبايل 'mobile'; Emirati [ilmoˈbaːjil] — definite article il- (szreder_derrick2023) + integrated loan mid vowel [oː] (Holes 2004). PIPELINE WRONG: emits 'almuˈːbaːjil' — [al-] not Emirati [il-], و→[uː] not loan [oː], stress inside length mark. Correct IPA pinned. table: default pan-Arabic (Watson 2002; Holes 2004)	known-wrong
ar-AE-cs-017	قَعَدْنَا نِتْفَرَّج تِلِفِزْيُون بِاللَّيْل	قعدنا نتفرج تلفزيون بالليل	ɡaˈʕadnaː niˈtfarradʒ tilifizˈjoːn biˈlllajl	we sat watching television at night	تِلِفِزْيُون	[daily] loan تلفزيون 'television'; attested Gulf [tilifizˈjoːn] with integrated loan [oː] (Holes 2004). PIPELINE WRONG: emits 'tilifiˈzjuːn' — و→[uː] not loan [oː]. Correct IPA pinned. table: default pan-Arabic (Watson 2002; Holes 2004)	known-wrong
ar-AE-cs-018	sh7alek 3sak zain ya rayyal	sh7alek 3sak zain ya rayyal	ˈʃħaːlak ʕaˈsaːk ˈzeːn ˈjaː raˈjjaːl	how are you? I hope you're well, man	sh7alek;3sak;rayyal	[daily] Arabizi (3arabi): 7=ح, 3=ع. Spells شحالك عساك زين يا ريّال. Pipeline has no Arabizi path; ipa = the Emirati reading, rayyāl 'man' (szreder_derrick2023).	unsupported
ar-AE-cs-019	cham 3yal 3endek	cham 3yal 3endek	ˈtʃam ʕiˈjaːl ˈʕindak	how many kids do you have	cham;3yal;3endek	[daily] Arabizi: ch=چ [tʃ], 3=ع. Spells چم عيال عندك. čam 'how many' — kaf→[tʃ] a completed phonemic change in Emirati (szreder_derrick2023); unsupported (no Arabizi path).	unsupported
ar-AE-cs-020	law tro7 el sooq jeeb li 3esh	law tro7 el sooq jeeb li 3esh	ˈlaw tiˈruːħ asˈsuːɡ ˈdʒiːb ˈliː ˈʕeːʃ	if you go to the market, bring me rice	law;tro7;3esh	[daily] Arabizi: 7=ح, 3=ع. Spells لو تروح السوق جيب لي عيش. unsupported; ipa = Emirati reading: لو conditional keeps [law] (resists Gulf ay/aw→ē/ō monophthongization) and عيش→[ʕeːʃ] 'rice/food' (szreder_derrick2023) — both Emirati facts the monophthongizing pipeline misses.	unsupported
