id	sentence	raw	ipa	gloss_en	cs_words	notes
ar-TR-x-cukurova-cs-001	كَلْب صَغِير عِنْدُه checkup الْآن	كلب صغير عنده checkup الآن	ˈkalb sˤɑˈɣiːr ˈʕinduh ʃikab alˈʔaːn	a small dog has a checkup now	checkup	[home] checkup→ʃikab. table: Levantine (Al-Saidat 2011; Cowell 1964)
ar-TR-x-cukurova-cs-002	أُرِيد أَبْعَت email لِلْمُدِير الْآن	أريد أبعت email للمدير الآن	ʔuˈriːd ˈʔabʕat iːmeːl lilmuˈdiːr alˈʔaːn	I want to send an email to the manager now	email	[tech] email→iːmeːl. table: Levantine (Al-Saidat 2011; Cowell 1964)
ar-TR-x-cukurova-cs-003	عِنْدِي laptop جَدِيد بَسّ wifi بَطِيء	عندي laptop جديد بس wifi بطيء	ˈʕindiː labtub ʒaˈdiːd ˈbass wifi bɑˈtˤɪːʔ	I have a new laptop but the wifi is slow	laptop;wifi	[tech] laptop→labtub; wifi→wifi. table: Levantine (Al-Saidat 2011; Cowell 1964)
ar-TR-x-cukurova-cs-004	لَازِم نَعْمَل update لِلْبَرْنَامِج الْآن	لازم نعمل update للبرنامج الآن	ˈlaːzim ˈnaʕmal abdeːt lilbarˈnaːmiʒ alˈʔaːn	we have to do an update for the program now	update	[tech] update→abdeːt. table: Levantine (Al-Saidat 2011; Cowell 1964)
ar-TR-x-cukurova-cs-005	نَزَّلْت file بَسّ download بَطِيء	نزلت file بس download بطيء	nazˈzalt fajl ˈbass dawnloːd bɑˈtˤɪːʔ	I downloaded a file but the download is slow	file;download	[tech] file→fajl; download→dawnloːd. table: Levantine (Al-Saidat 2011; Cowell 1964)
ar-TR-x-cukurova-cs-006	نَسِيت password تَاع email	نسيت password تاع email	naˈsiːt baːswaːrd ˈtaːʕ iːmeːl	I forgot the password of the email	password;email	[tech] password→baːswaːrd; email→iːmeːl. table: Levantine (Al-Saidat 2011; Cowell 1964)
ar-TR-x-cukurova-cs-007	ابْعَتْلِي link عَلَى message	ابعتلي link على message	ʔibˈʕatliː link ˈʕalaː misidʒ	send me the link on a message	link;message	[tech] link→link; message→misidʒ. table: Levantine (Al-Saidat 2011; Cowell 1964)
ar-TR-x-cukurova-cs-008	عِنْدِي meeting مُهِمّ مَعَ manager	عندي meeting مهم مع manager	ˈʕindiː miːtinɡ muˈhimm ˈmaʕa manidʒar	I have an important meeting with a manager	meeting;manager	[tech] meeting→miːtinɡ; manager→manidʒar. table: Levantine (Al-Saidat 2011; Cowell 1964)
ar-TR-x-cukurova-cs-009	شُفْت video عَلَى online	شفت video على online	ˈʃuft fiːdjo ˈʕalaː unlajn	I saw a video online	video;online	[tech] video→fiːdjo; online→unlajn. table: Levantine (Al-Saidat 2011; Cowell 1964)
ar-TR-x-cukurova-cs-010	فِي offer جَيِّد وْ discount كْبِير	في offer جيد و discount كبير	ˈfiː ufar ˈʒajjid w diskawnt ˈkbiːr	there is a good offer and a big discount	offer;discount	[commerce] offer→ufar; discount→diskawnt. table: Levantine (Al-Saidat 2011; Cowell 1964)
