id	sentence	raw	ipa	gloss_en	cs_words	notes
ar-EG-x-bedawi-cs-001	أُرِيد أَبْعَت email لِلْمُدِير الْآن	أريد أبعت email للمدير الآن	ʔuˈriːd ˈʔabʕat iːmeːl lilmuˈdiːr alˈʔaːn	I want to send an email to the manager now	email	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-EG-x-bedawi declares its own cited reflexes.] [tech] email→iːmeːl. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-x-bedawi-cs-002	عِنْدِي laptop جَدِيد بَسّ wifi بَطِيء	عندي laptop جديد بس wifi بطيء	ˈʕindiː labtub dʒaˈdiːd ˈbass wifi bɑˈtˤɪːʔ	I have a new laptop but the wifi is slow	laptop;wifi	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-EG-x-bedawi declares its own cited reflexes.] [tech] laptop→labtub; wifi→wifi. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-x-bedawi-cs-003	لَازِم نَعْمَل update لِلْبَرْنَامِج الْآن	لازم نعمل update للبرنامج الآن	ˈlaːzim ˈnaʕmal abdeːt lilbarˈnaːmidʒ alˈʔaːn	we have to do an update for the program now	update	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-EG-x-bedawi declares its own cited reflexes.] [tech] update→abdeːt. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-x-bedawi-cs-004	نَزَّلْت file بَسّ download بَطِيء	نزلت file بس download بطيء	nazˈzalt fajl ˈbass dawnloːd bɑˈtˤɪːʔ	I downloaded a file but the download is slow	file;download	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-EG-x-bedawi declares its own cited reflexes.] [tech] file→fajl; download→dawnloːd. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-x-bedawi-cs-005	نَسِيت password تَاع email	نسيت password تاع email	naˈsiːt baːswaːrd ˈtaːʕ iːmeːl	I forgot the password of the email	password;email	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-EG-x-bedawi declares its own cited reflexes.] [tech] password→baːswaːrd; email→iːmeːl. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-x-bedawi-cs-006	ابْعَتْلِي link عَلَى message	ابعتلي link على message	ʔibˈʕatliː link ˈʕalaː misiɡ	send me the link on a message	link;message	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-EG-x-bedawi declares its own cited reflexes.] [tech] link→link; message→misiɡ. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-x-bedawi-cs-007	عِنْدِي meeting مُهِمّ مَعَ manager	عندي meeting مهم مع manager	ˈʕindiː miːtinɡ muˈhimm ˈmaʕa maniɡar	I have an important meeting with a manager	meeting;manager	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-EG-x-bedawi declares its own cited reflexes.] [tech] meeting→miːtinɡ; manager→maniɡar. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-x-bedawi-cs-008	شُفْت video عَلَى online	شفت video على online	ˈʃuft fiːdjo ˈʕalaː unlajn	I saw a video online	video;online	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-EG-x-bedawi declares its own cited reflexes.] [tech] video→fiːdjo; online→unlajn. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-x-bedawi-cs-009	فِي offer جَيِّد وْ discount كْبِير	في offer جيد و discount كبير	fiː ufar ˈdʒajjid w diskawnt ˈkbiːr	there is a good offer and a big discount	offer;discount	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-EG-x-bedawi declares its own cited reflexes.] [commerce] offer→ufar; discount→diskawnt. table: Egyptian (Hafez 1996; Watson 2002)
ar-EG-x-bedawi-cs-010	delivery يُوصَل بُكْرَة وْ الدَّفْع cash	delivery يوصل بكرة و الدفع cash	dilifari ˈjʊːsˤɑl ˈbukra w adˈdafʕ kaʃ	delivery arrives tomorrow and payment is cash	delivery;cash	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-EG-x-bedawi declares its own cited reflexes.] [commerce] delivery→dilifari; cash→kaʃ. table: Egyptian (Hafez 1996; Watson 2002)
