id	sentence	raw	ipa	gloss_en	cs_words	notes	pipeline_status
ar-SA-x-qassim-cs-001	وِش لَونَك أَبْغَى أَبْعَت email لِلْمُدِير الحِين	وش لونك أبغى أبعت email للمدير الحين	ˈwiʃ ˈloːnak ˈʔabɣaː ˈʔabʕat imeːl lilmuˈdiːr alˈħiːn	how are you, I want to send an email to the manager now	email	[tech] email→imeːl (8-vowel set, mid /eː/ present). Qassimi/Najdi frame وش لونك/عساك/أبغى/زين/مو/هذا/الحين/مرّة (ingham1994; alhoody2019 p.42); وِش لَونَك greeting, لَون→[loːn] monophthong. table: Najdi (Alhoody 2019)	pinned
ar-SA-x-qassim-cs-002	عِنْدِي laptop جَدِيد بَس wifi بَطِيء	عندي laptop جديد بس wifi بطيء	ˈʕindiː labtub dʒaˈdiːd ˈbas wifi bɑˈtˤiːʔ	I have a new laptop but the wifi is slow	laptop;wifi	[tech] laptop→labtub (/p/→[b], alhoody2019 §5.1.1); wifi→wifi. table: Najdi (Alhoody 2019)	pinned
ar-SA-x-qassim-cs-003	نَسِيت password حَقّ email	نسيت password حق email	naˈsiːt baswuːrd ˈħaɡɡ imeːl	I forgot the password of the email	password;email	[tech] password→baswuːrd (/p/→[b]); email→imeːl. Najdi possessive حَقّ (ingham1994). table: Najdi (Alhoody 2019)	pinned
ar-SA-x-qassim-cs-004	عِنْدِي meeting مُهِمّ مَعَ manager بُكْرَة	عندي meeting مهم مع manager بكرة	ˈʕindiː miːtinɡ muˈhimm ˈmaʕa manadʒar ˈbukra	I have an important meeting with a manager tomorrow	meeting;manager	[work] meeting→miːtinɡ (/ŋ/→[nɡ]); manager→manadʒar (loan /dʒ/ kept, ج=/dʒ/ ingham1994). table: Najdi (Alhoody 2019)	pinned
ar-SA-x-qassim-cs-005	لَازِم نْسَوِّي update لِلْبَرْنَامِج الحِين	لازم نسوي update للبرنامج الحين	ˈlaːzim ˈnsawwiː abdat lilbarˈnaːmidʒ alˈħiːn	we have to do an update for the program now	update	[tech] update→abdat (/p/→[b]). Najdi نْسَوِّي 'we do', الحِين 'now' (ingham1994). table: Najdi (Alhoody 2019)	pinned
ar-SA-x-qassim-cs-006	أَنَا think هَذَا model غَالِي مَرَّة	أنا think هذا model غالي مرة	ˈʔanaː θink ˈhaðaː mudil ˈɣaːliː ˈmarra	I think this model is very expensive	think;model	[daily] think→θink (interdental /θ/ retained, alhoody2019 p.41); model→mudil. Intensifier مَرَّة 'very' (ingham1994). table: Najdi (Alhoody 2019)	pinned
ar-SA-x-qassim-cs-007	فِيه offer زَين وْ discount كْبِير	فيه offer زين و discount كبير	ˈfiːh ufar ˈzeːn w disawnt ˈkbiːr	there is a good offer and a big discount	offer;discount	[commerce] offer→ufar; discount→disawnt. Najdi زَين 'good' (ingham1994). table: Najdi (Alhoody 2019)	pinned
ar-SA-x-qassim-cs-008	دَفَعْت cash مُو بِالبِطَاقَة	دفعت cash مو بالبطاقة	ˈdafaʕat kaʃ ˈmuː bilbiˈtˤɑːɡa	I paid cash, not by card	cash	[commerce] cash→kaʃ (/k/ before /a/, no affrication). Negator مُو /muː/ (ingham1994). table: Najdi (Alhoody 2019)	pinned
ar-SA-x-qassim-cs-009	service مُو زَين وْ delivery مِتْأَخِّر	service مو زين و delivery متأخر	sarfis ˈmuː ˈzeːn w dilifari mitˈʔaxxir	the service is not good and the delivery is late	service;delivery	[commerce] service→sarfis (/v/→[f], alhoody2019 §5.1.2); delivery→dilifari. مُو + زَين (ingham1994). table: Najdi (Alhoody 2019)	pinned
ar-SA-x-qassim-cs-010	وَدَّيت السَّيَّارَة garage الحِين	وديت السيارة garage الحين	wadˈdeːt assajˈjaːra ɡaːradʒ alˈħiːn	I took the car to a garage now	garage	[automotive] garage→ɡaːradʒ (final loan /dʒ/ kept). وَدَّيت→[waddeːt] /aj/→[eː] (alhoody2019 p.42). table: Najdi (Alhoody 2019)	pinned
ar-SA-x-qassim-cs-011	هَذَا model جَدِيد وْ automatic	هذا model جديد و automatic	ˈhaðaː mudil dʒaˈdiːd w aatumatik	this model is new and automatic	model;automatic	[automotive] model→mudil; automatic→aatumatik. Demonstrative هَذَا; جَدِيد ج=/dʒ/. table: Najdi (Alhoody 2019)	pinned
ar-SA-x-qassim-cs-012	نْشُوفَك فِي weekend إِن شَاء الله	نشوفك في weekend إن شاء الله	ˈnʃuːfak ˈfiː wiːkind ˈʔin ˈʃaːʔ ˈallah	we'll see you on the weekend, God willing	weekend	[daily] weekend→wiːkind. Najdi نْشُوفَك (ingham1994). table: Najdi (Alhoody 2019)	pinned
ar-SA-x-qassim-cs-013	أَبْغَى كِيلُو تَمْر مِن السُّوق	أبغى كيلو تمر من السوق	ˈʔabɣaː ˈkiːlu ˈtamr ˈmin aˈssuːɡ	I want a kilo of dates from the market	كِيلُو	[commerce] loan كيلو 'kilo'; attested [ˈkiːlu] — the European loan RESISTS the Qassimi /k/→[ts] affrication (Alhoody 2019 appendix, item kilo /ˈkiːləʊ/→[ˈkiːlu]). PIPELINE WRONG: reads the Arabic-script loan as native and fires the affrication rule → [ˈtsiːluː]. Correct loan IPA pinned in ipa. table: Najdi (Alhoody 2019)	known-wrong
ar-SA-x-qassim-cs-014	رِحْت المَارْكِت وشَرَيْت خُبْز	رحت الماركت وشريت خبز	ˈriħt aˈlmaːrkit waʃaˈreːt ˈxubz	I went to the market and bought bread	المَارْكِت	[commerce] loan ماركت 'market'; attested [ˈmaːrkit] — /k/ before front /ɪ/ stays [k], RESISTS affrication (Alhoody 2019, market /ˈmɑːkɪt/→[ˈmaːrkit]). PIPELINE WRONG: emits [aˈlmaːrtsit] (native affrication /k/→[ts]). Correct loan IPA pinned in ipa. table: Najdi (Alhoody 2019)	known-wrong
