id	sentence	raw	ipa	gloss_en	cs_words	notes	pipeline_status
ar-MR-cs-001	نَبْغِي نَبْعَت email لِلْمُدِير	نبغي نبعت email للمدير	ˈnabʁiː ˈnabʕat imiːl lilmuˈdiːr	I want to send an email to the manager	email	[tech] email→imiːl. Ḥassāniyya frame نَبْغِي 'I want' (tainecheikh2007). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-MR-cs-002	عَنْدِي laptop جَدِيد بَسّ wifi بَطِيء	عندي laptop جديد بس wifi بطيء	ˈʕandiː labtub ʒaˈdiːd ˈbass wifi bɑˈtˤiːʔ	I have a new laptop but the wifi is slow	laptop;wifi	[tech] laptop→labtub (/p/→[b]); wifi→wifi — loan /f/ KEPT [f] (nativised loans are not subject to the native *f→[v] rule). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-MR-cs-003	لَازِم نْدِير update لِلْبَرْنَامِج	لازم ندير update للبرنامج	ˈlaːzim ˈndiːr abdat lilbarˈnaːmiʒ	I have to do an update for the program	update	[tech] update→abdat. Ḥassāniyya نْدِير 'I do'. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-MR-cs-004	نْسِيت password مْتَاع email	نسيت password متاع email	ˈnsiːt baswuːrd ˈmtaːʕ imiːl	I forgot the password of the email	password;email	[tech] password→baswuːrd (/p/→[b]); email→imiːl. Genitive exponent مْتَاع (tainecheikh2007). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-MR-cs-005	عَنْدِي meeting مُهِمّ مَعَ manager	عندي meeting مهم مع manager	ˈʕandiː miːtinɡ muˈhimm ˈmaʕa manadʒar	I have an important meeting with a manager	meeting;manager	[work] meeting→miːtinɡ (/ŋ/→[nɡ]); manager→manadʒar (loan /dʒ/→[dʒ]). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-MR-cs-006	شُفْت video بْنِين عَلَى online	شفت video بنين على online	ˈʃuvt fidiu ˈbniːn ˈʕalaː unlin	I saw a nice video online	video;online	[daily] CONTRAST: native شُفْت→ʃuvt (inherited *f→[v], Ḥassāniyya, tainecheikh2007 §2.1.1.3) vs loan video→fidiu (/v/→[f], loan f untouched by the rule); online→unlin. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-MR-cs-007	فِي offer بْنِين وْ discount كْبِير يَاسِر	في offer بنين و discount كبير ياسر	ˈviː ufar ˈbniːn w disawnt ˈkbiːr ˈjaːsir	there is a good offer and a very big discount	offer;discount	[commerce] native فِي→viː (*f→[v]); offer→ufar; discount→disawnt. Intensifier يَاسِر 'very' (Ḥassāniyya/Bedouin). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-MR-cs-008	delivery يُوصَل غُدْوَة وْ الدَّفْع cash	delivery يوصل غدوة و الدفع cash	dilifari ˈjuːsˤɑl ˈʁudwa w adˈdavʕ kaʃ	delivery arrives tomorrow and payment is cash	delivery;cash	[commerce] delivery→dilifari; cash→kaʃ; native الدَّفْع→ddavʕ (*f→[v]). غُدْوَة 'tomorrow' (tainecheikh2007). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-MR-cs-009	الْكَرْهَبَة مْتَاعِي فِيهَا مُشْكِل فِي engine	الكرهبة متاعي فيها مشكل في engine	alˈkarhaba ˈmtaːʕiː ˈviːhaː ˈmuʃkil ˈviː inɡin	my car has a problem in the engine	engine	[automotive] engine→inɡin (/ɡ/ in inventory); native فِيهَا/فِي→viːhaː/viː (*f→[v]). كَرْهَبَة 'car'. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-MR-cs-010	هَاذَا model جَدِيد وْ automatic	هاذا model جديد و automatic	ˈhaːðaː mudil ʒaˈdiːd w aatumatik	this model is new and automatic	model;automatic	[automotive] model→mudil; automatic→aatumatik. Demonstrative هَاذَا (interdental retained, tainecheikh2007 §2.1.1.2). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-MR-cs-011	أَنَا think هَاذَا model غَالِي يَاسِر	أنا think هاذا model غالي ياسر	ˈʔanaː θink ˈhaːðaː mudil ˈʁaːliː ˈjaːsir	I think this model is very expensive	think;model	[daily] think→θink (/θ/ RETAINED — matches Ḥassāniyya interdental retention, tainecheikh2007 §2.1.1.2); model→mudil. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-MR-cs-012	نْشُوفَك فِي weekend إِنْ شَاءَ الله	نشوفك في weekend إن شاء الله	ˈnʃuːvak ˈviː wiːkind ˈʔin ˈʃaːʔa ˈallah	see you on the weekend, God willing	weekend	[daily] weekend→wiːkind; native نْشُوفَك→nʃuːvak (*f→[v], tainecheikh2007) + فِي→viː. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-MR-cs-013	دَقّ لِي التِّلِيفُون اللِّيلَة	دق لي التليفون الليلة	ˈdaɡɡ ˈliː ttiliˈfuːn aˈllijla	call me on the telephone tonight	التِّلِيفُون	[tech] French loan تِلِيفُون 'telephone' < Fr. téléphone; attested Ḥassāniyya keeps [f]: [ttilifuːn] (tainecheikh2007, French stratum). PIPELINE WRONG: emits ttiliˈːvuːn — applies the native *f→[v] rule to a French loan (which must keep [f]) and misplaces stress inside the length mark. Correct loan IPA pinned in ipa. table: French-contact loan into ar-MR (Taine-Cheikh 2007 on the French borrowing stratum)	known-wrong
ar-MR-cs-014	جَابْ لِي الْفَاكْتُور	جاب لي الفاكتور	ˈʒaːb ˈliː lˈfaːktuːr	he brought me the bill	الْفَاكْتُور	[commerce] French loan فَاكْتُور 'bill' < Fr. facture; attested keeps [f]: [lfaːktuːr]. PIPELINE WRONG: emits lvaˈːktuːr — *f→[v] wrongly applied to the French loan (should keep [f]) + stress inside length mark. Correct loan IPA pinned in ipa. table: French-contact loan into ar-MR (Taine-Cheikh 2007 on the French borrowing stratum)	known-wrong
ar-MR-cs-015	الشُّوفُور جَا	الشوفور جا	aʃʃuːˈfuːr ˈʒaː	the driver came	الشُّوفُور	[automotive] French loan شُوفُور 'driver' < Fr. chauffeur; attested keeps [f]: [ʃʃuːfuːr]. PIPELINE WRONG: emits aʃʃuˈːvuːr — *f→[v] on the French loan (should keep [f]) + stress inside length mark. Correct loan IPA pinned in ipa. table: French-contact loan into ar-MR (Taine-Cheikh 2007 on the French borrowing stratum)	known-wrong
