id	sentence	raw	ipa	gloss_en	cs_words	notes	pipeline_status
ar-x-gulf-cs-001	أَبِي أَبْعَت email لِلْمُدِير الْحِين	أبي أبعت email للمدير الحين	ˈʔabiː ˈʔabʕat imeːl lilmuˈdiːr alˈħiːn	I want to send an email to the manager now	email	[tech] email→imeːl. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-x-gulf-cs-002	عِنْدِي meeting مُهِمّ مَعَ manager الْحِين	عندي meeting مهم مع manager الحين	ˈʕindiː miːtinɡ muˈhimm ˈmaʕa manadʒar alˈħiːn	I have an important meeting with a manager now	meeting;manager	[work] meeting→miːtinɡ; manager→manadʒar. node rank-1: ق→[ɡ] (لقيت→laˈdʒiːt, affricated before front V), ay/aw→[eː/oː]; the node declares /ɡ/ so meeting→miːtinɡ, garage→ɡaːradʒ (alshammari2026; szreder_derrick2023; albalushi2016). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-x-gulf-cs-003	فِي offer زَيْن وْ discount كْبِير	في offer زين و discount كبير	ˈfiː ufar ˈzeːn w disawnt ˈkbiːr	there is a good offer and a big discount	offer;discount	[commerce] offer→ufar; discount→disawnt. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-x-gulf-cs-004	لَازِم نَعْمَل update لِلْبَرْنَامِج الْحِين	لازم نعمل update للبرنامج الحين	ˈlaːzim ˈnaʕmal abdat lilbarˈnaːmidʒ alˈħiːn	we have to do an update for the program now	update	[tech] update→abdat. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-x-gulf-cs-005	شُفْت video زَيْن عَلَى online	شفت video زين على online	ˈʃuft fidiu ˈzeːn ˈʕalaː unlin	I saw a nice video online	video;online	[media] video→fidiu; online→unlin. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-x-gulf-cs-006	نَسِيت password تَاع email	نسيت password تاع email	naˈsiːt baswuːrd ˈtaːʕ imeːl	I forgot the password of the email	password;email	[tech] password→baswuːrd; email→imeːl. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-x-gulf-cs-007	مُو عَارِف بَسّ أَنَا think هَذَا project غَالِي	مو عارف بس أنا think هذا project غالي	ˈmuː ˈʕaːrif ˈbass ˈʔanaː θink ˈhaðaː brudʒikt ˈɣaːliː	I don't know but I think this project is expensive	think;project	[work] think→θink; project→brudʒikt. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-x-gulf-cs-008	delivery يُوصَل بُكْرَة وْ الدَّفْع cash	delivery يوصل بكرة و الدفع cash	dilifari ˈjuːsˤɑl ˈbukra w ˈddafʕ kaʃ	the delivery arrives tomorrow and payment is cash	delivery;cash	[commerce] delivery→dilifari; cash→kaʃ. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-x-gulf-cs-009	service مُو زَيْن وْ delivery مِتْأَخِّر	service مو زين و delivery متأخر	sarfis ˈmuː ˈzeːn w dilifari mitˈʔaxxir	the service is not good and the delivery is late	service;delivery	[commerce] service→sarfis; delivery→dilifari. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-x-gulf-cs-010	عِنْدِي laptop جَدِيد بَسّ wifi بَطِيء	عندي laptop جديد بس wifi بطيء	ˈʕindiː labtub dʒaˈdiːd ˈbass wifi bɑˈtˤiːʔ	I have a new laptop but the wifi is slow	laptop;wifi	[tech] laptop→labtub; wifi→wifi. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-x-gulf-cs-011	ابْعَتْلِي link عَلَى message	ابعتلي link على message	ibʕatˈlijj link ˈʕalaː misadʒ	send me the link on a message	link;message	[tech] link→link; message→misadʒ. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-x-gulf-cs-012	أَبِي أَشْتَرِي online بَسّ مَا لَقِيت offer	أبي أشتري online بس ما لقيت offer	ˈʔabiː ˈʔaʃtariː unlin ˈbass ˈmaː laˈdʒiːt ufar	I want to buy online but I did not find an offer	online;offer	[commerce] online→unlin; offer→ufar. node rank-1: ق→[ɡ] (لقيت→laˈdʒiːt, affricated before front V), ay/aw→[eː/oː]; the node declares /ɡ/ so meeting→miːtinɡ, garage→ɡaːradʒ (alshammari2026; szreder_derrick2023; albalushi2016). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-x-gulf-cs-013	وَدِّيت السَّيَّارَة سَرْفِيس الْحِين	وديت السيارة سرفيس الحين	wadˈdiːt assajˈjaːra sarˈfiːs alˈħiːn	I took the car for a service now	سَرْفِيس	[automotive] loan سرفيس 'service (station)' → read natively (/v/-loan spelt with ف); attested colloquial [sarˈfiːs] (badawi-hinds1986 s.v. سرفيس). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-x-gulf-cs-014	دَفَعْت كَاش مُو بِكَرْت	دفعت كاش مو بكرت	daˈfaʕt ˈkaːʃ ˈmuː biˈkart	I paid cash not by card	كَاش	[commerce] loans كاش 'cash' → [kaːʃ] and كرت 'card' → [kart], both attested pan-Arabic (badawi-hinds1986 s.v. كاش, كارت). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-x-gulf-cs-015	الْعَجَلَة فِيهَا بَنْشَر لَازِم أَصَلِّحْهَا	العجلة فيها بنشر لازم أصلحها	alˈʕadʒala ˈfiːhaː ˈbanʃar ˈlaːzim ʔɑsˤɑlˈliħhaː	the wheel has a puncture, I have to fix it	بَنْشَر	[automotive] loan بنشر 'puncture' → [banʃar], attested colloquial (badawi-hinds1986 s.v. بنشر). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
