id	sentence	raw	ipa	gloss_en	cs_words	notes
ar-SA-x-shamali-cs-001	كَلْب صَغِير عِنْدُه checkup الْحِين	كلب صغير عنده checkup الحين	ˈtsalb sˤɑˈɣiːr ˈʕinduh ʃikab alˈħiːn	a small dog has a checkup now	checkup	[home] checkup→ʃikab. table: Najdi (Alhoody 2019)
ar-SA-x-shamali-cs-002	أَبِي أَبْعَت email لِلْمُدِير الْحِين	أبي أبعت email للمدير الحين	ˈʔabiː ˈʔabʕat iːmiːl lilmuˈdiːr alˈħiːn	I want to send an email to the manager now	email	[tech] email→iːmiːl. table: Najdi (Alhoody 2019)
ar-SA-x-shamali-cs-003	عِنْدِي laptop جَدِيد بَسّ wifi بَطِيء	عندي laptop جديد بس wifi بطيء	ˈʕindiː labtub dʒaˈdiːd ˈbass wifi bɑˈtˤɪːʔ	I have a new laptop but the wifi is slow	laptop;wifi	[tech] laptop→labtub; wifi→wifi. table: Najdi (Alhoody 2019)
ar-SA-x-shamali-cs-004	لَازِم نَعْمَل update لِلْبَرْنَامِج الْحِين	لازم نعمل update للبرنامج الحين	ˈlaːzim ˈnaʕamal abdiːt lilbarˈnaːmidʒ alˈħiːn	we have to do an update for the program now	update	[tech] update→abdiːt. table: Najdi (Alhoody 2019)
ar-SA-x-shamali-cs-005	نَزَّلْت file بَسّ download بَطِيء	نزلت file بس download بطيء	nazˈzalt fajl ˈbass dawnloːd bɑˈtˤɪːʔ	I downloaded a file but the download is slow	file;download	[tech] file→fajl; download→dawnloːd. table: Najdi (Alhoody 2019)
ar-SA-x-shamali-cs-006	نَسِيت password تَاع email	نسيت password تاع email	naˈsiːt baːswaːrd ˈtaːʕ iːmiːl	I forgot the password of the email	password;email	[tech] password→baːswaːrd; email→iːmiːl. table: Najdi (Alhoody 2019)
ar-SA-x-shamali-cs-007	ابْعَتْلِي link عَلَى message	ابعتلي link على message	ʔibˈʕatliː link ˈʕalaː misidʒ	send me the link on a message	link;message	[tech] link→link; message→misidʒ. table: Najdi (Alhoody 2019)
ar-SA-x-shamali-cs-008	عِنْدِي meeting مُهِمّ مَعَ manager	عندي meeting مهم مع manager	ˈʕindiː miːtinɡ muˈhimm ˈmaʕa manidʒar	I have an important meeting with a manager	meeting;manager	[tech] meeting→miːtinɡ; manager→manidʒar. table: Najdi (Alhoody 2019)
ar-SA-x-shamali-cs-009	شُفْت video عَلَى online	شفت video على online	ˈʃuft fiːdjo ˈʕalaː unlajn	I saw a video online	video;online	[tech] video→fiːdjo; online→unlajn. table: Najdi (Alhoody 2019)
ar-SA-x-shamali-cs-010	فِي offer زَيْن وْ discount كْبِير	في offer زين و discount كبير	fiː ufar ˈzajn w diskawnt ˈkbiːr	there is a good offer and a big discount	offer;discount	[commerce] offer→ufar; discount→diskawnt. table: Najdi (Alhoody 2019)
ar-SA-x-shamali-cs-011	delivery يُوصَل بُكْرَة وْ الدَّفْع cash	delivery يوصل بكرة و الدفع cash	dilifari ˈjʊːsˤɑl ˈbukra w adˈdafʕ kaʃ	delivery arrives tomorrow and payment is cash	delivery;cash	[commerce] delivery→dilifari; cash→kaʃ. table: Najdi (Alhoody 2019)
