id	sentence	raw	ipa	gloss_en	cs_words	notes	pipeline_status
ar-IQ-cs-001	عِنْدِي email مُهِمّ مِن الشُّغُل	عندي email مهم من الشغل	ˈʕindiː imeːl muˈhimm ˈmin ˈaʃʃuɣul	I have an important email from work	email	[tech] email→imeːl (/eː/ mid-long loan vowel, in the gilit inventory; blanc1964). ʕindi 'I have', iš-šuɣul 'work' (erwin1963). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-IQ-cs-002	اِشْتَرَيت laptop جِدِيد بَسّ wifi ضَعِيف	اشتريت laptop جديد بس wifi ضعيف	iʃtaˈreːt labtub dʒiˈdiːd ˈbass wifi dˤɑˈʕiːf	I bought a new laptop but the wifi is weak	laptop;wifi	[tech] laptop→labtub (/p/→[b]; Watson 2002); wifi→wifi. bass 'but', ǧīm [dʒ] in jidīd (blanc1964). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-IQ-cs-003	اَكُو printer خَربَان لَازِم نْصَلْحَه	اكو printer خربان لازم نصلحه	ˈakuː brintar xarˈbaːn ˈlaːzim ˈnsˤɑlħah	there is a broken printer we must fix	printer	[tech] printer→brintar (initial /p/→[b]; Watson 2002). aku 'there is' existential, xarbān 'broken' (erwin1963). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-IQ-cs-004	شِفِت video حِلُو هْوَايَة	شفت video حلو هواية	ˈʃifit fidiu ˈħiluː ˈhwaːja	I saw a very nice video	video	[tech] video→fidiu (/v/→[f]; gilit has no /v/; blanc1964). hwāya 'very' (erwin1963). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-IQ-cs-005	نِسَيت password مَال الإِيميل	نسيت password مال الإيميل	niˈseːt baswuːrd ˈmaːl alʔiːˈmiːl	I forgot the password of the email	password	[tech] password→baswuːrd (/p/→[b], medial embed; Watson 2002). māl 'of' Iraqi genitive exponent (erwin1963). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-IQ-cs-006	عِنْدِي meeting مُهِمّ الصُّبُح	عندي meeting مهم الصبح	ˈʕindiː miːtinɡ muˈhimm ˈɑsˤsˤubuħ	I have an important meeting in the morning	meeting	[work] meeting→miːtinɡ (needs final /ɡ/, which the gilit inventory declares; blanc1964). iṣ-ṣubuḥ 'the morning' (erwin1963). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-IQ-cs-007	حَچَيت وِيَّة manager الشِّرْكَة الْبَارْحَة	حچيت وية manager الشركة البارحة	ħaˈtʃeːt ˈwijja manadʒar aʃˈʃirka alˈbaːrħa	I spoke with the company manager yesterday	manager	[work] manager→manadʒar (ǧīm [dʒ] vs Cairene [manaɡar]; Watson 2002). ḥačēt 'I spoke' (kaf-affricate چ, erwin1963), wiyya 'with', il-bārḥa 'yesterday' (erwin1963). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-IQ-cs-008	دَفَعِت الْحِسَاب cash مُو بِالْكَارت	دفعت الحساب cash مو بالكارت	ˈdafaʕit alħiˈsaːb kaʃ ˈmuː bilˈkaːrt	I paid the bill in cash, not by card	cash	[commerce] cash→kaʃ (final embed). mu (مو) predicate negation (erwin1963). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-IQ-cs-009	خَلَّيت السَّيَّارَة عَند garage	خليت السيارة عند garage	xalˈleːt assajˈjaːra ˈʕand ɡaːradʒ	I left the car at the garage	garage	[automotive] garage→ɡaːradʒ (/ɡ/ + ǧīm [dʒ], both in the gilit inventory). xallēt 'I left', ʕand 'at' (erwin1963). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-IQ-cs-010	آنِي think هَاذَا غَالِي هْوَايَة	آني think هاذا غالي هواية	ʔaːˈnijj θink ˈhaːðaː ˈɣaːliː ˈhwaːja	I think this is very expensive	think	[opinion] think→θink (interdental /θ/ RETAINED — gilit keeps the interdentals; blanc1964). āni 'I', hāða retained /ð/, hwāya 'very' (erwin1963). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-IQ-cs-011	charger مَال الْمُوبَايل خَربَان	charger مال الموبايل خربان	ʃaːrdʒar ˈmaːl almuːˈbaːjil xarˈbaːn	the charger of the mobile is broken	charger	[automotive] charger→ʃaːrdʒar (/tʃ/→[ʃ] in the loan; Watson 2002; ǧīm [dʒ]). māl 'of', xarbān 'broken' (erwin1963). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-IQ-cs-012	delivery يُوصَل الصُّبُح إِن شَاء الله	delivery يوصل الصبح إن شاء الله	dilifari ˈjuːsˤɑl ˈɑsˤsˤubuħ ˈʔin ˈʃaːʔ ˈallah	the delivery arrives in the morning, God willing	delivery	[commerce] delivery→dilifari (/v/→[f]; initial embed). yūṣal 'arrives' (erwin1963). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-IQ-cs-013	خَابَرْنِي بِالتِّلِفُون الْبَارْحَة	خابرني بالتلفون البارحة	xaːˈbarniː bittiliˈfuːn alˈbaːrħa	he called me on the phone yesterday	التلفون	[tech] Arabic-script loan tilifūn 'telephone' (via Ott. Turkish), attested Iraqi [tilifuːn]; xābar 'to phone' (erwin1963); pipeline reads the native graphemes → matches attested (cf. gold ar-IQ-018). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-IQ-cs-014	جِيب گْلَاص مَاي مِن الْمَطْبَخ	جيب گلاص ماي من المطبخ	ˈdʒiːb ˈɡlɑːsˤ ˈmaːj ˈmin alˈmɑtˤbax	bring a glass of water from the kitchen	گلاص	[daily] Arabic-script loan glāṣ 'glass/tumbler' (<Eng. glass, Turkish-mediated), attested Iraqi [ɡlɑːsˤ] with the dialectal گ; pipeline reads گ as /ɡ/ → matches attested. jīb imperative (erwin1963). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-IQ-cs-015	شَغِّل پَانْكَة اِلْجَوّ حَارّ	شغل پانكة الجو حار	ˈʃaɣɣil ˈpaːnka ilˈdʒaww ˈħaːrr	turn on the fan, the weather is hot	پانكة	[daily] Arabic-script loan pānka 'ceiling fan' (Anglo-Indian punkah, Persian/Gulf-mediated), attested Iraqi [ˈpaːnka] with پ=/p/; pipeline reads پ as /p/ → matches attested (erwin1963 s.v. panka). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
