id	sentence	raw	ipa	gloss_en	cs_words	notes	pipeline_status
arb-cs-001	دَرَسَ الْفَلَاسِفَةُ الْفَلْسَفَةَ وَالْمَنْطِقَ	درس الفلاسفة الفلسفة والمنطق	ˈdarasa lfaˈlaːsifa aˈlfalsafa waˈːlmantˤiqa	the philosophers studied philosophy and logic	الْفَلْسَفَةَ	[science] integrated loan فلسفة < Gk philosophía; fully Arabised in the classical lexicon (versteegh2001 ch.2). Read natively. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
arb-cs-002	كَتَبَ الْعَالِمُ فِي الْجُغْرَافِيَا وَالْفَلَكِ	كتب العالم في الجغرافيا والفلك	ˈkataba ˈlʕaːlim ˈfiː ldʒuˈɣraːfijaː waˈːlfalaki	the scholar wrote on geography and astronomy	الْجُغْرَافِيَا	[science] integrated loan جغرافيا < Gk geōgraphía (versteegh2001). Classical Arabic phonology throughout. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
arb-cs-003	وَعَدَ اللَّهُ الْمُؤْمِنِينَ جَنَّاتِ الْفِرْدَوْسِ	وعد الله المؤمنين جنات الفردوس	ˈwaʕada ˈllah almuʔmiˈniːn dʒaˈnnaːti lfiˈrdaws	God promised the believers the gardens of paradise	الْفِرْدَوْسِ	[religion] integrated loan فردوس < Old Persian *paridaida 'paradise'; Qurʾānic, fully classical (holes2004). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
arb-cs-004	رَجَعَ الطَّبِيبُ إِلَى الْقَامُوسِ لِيَفْهَمَ الْكَلِمَةَ	رجع الطبيب إلى القاموس ليفهم الكلمة	ˈradʒaʕa tˤtˤaˈbiːb ˈʔilaː lqaˈːmuːs liˈjafhama ˈlkalima	the physician returned to the dictionary to understand the word	الْقَامُوسِ	[science] integrated loan قاموس < Gk ōkeanós 'ocean'→'lexicon'; classical (versteegh2001). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
arb-cs-005	دَفَعَ التَّاجِرُ أَلْفَ دِينَارٍ وَمِائَةَ دِرْهَمٍ	دفع التاجر ألف دينار ومائة درهم	ˈdafaʕa ˈttaːdʒir ˈʔalfa diˈːnaːrin waˈmiʔʔata ˈdirhamin	the merchant paid a thousand dinars and a hundred dirhams	دِينَارٍ	[commerce] integrated loans دينار < Lat. denarius, درهم < Gk drachmḗ; the classical monetary lexicon (versteegh2001). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
arb-cs-006	تَلَا الْقَسِّيسُ مِنَ الْإِنْجِيلِ فِي الْكَنِيسَةِ	تلا القسيس من الإنجيل في الكنيسة	ˈtalaː lqaˈssiːs ˈmina lʔiˈndʒiːl ˈfiː lkaˈniːsa	the priest recited from the Gospel in the church	الْإِنْجِيلِ	[religion] integrated loan إنجيل < Gk euangélion; Qurʾānic, classical (holes2004). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
arb-cs-007	سَقَى الطَّبِيبُ الْمَرِيضَ التِّرْيَاقَ وَالْبَلْسَمَ	سقى الطبيب المريض الترياق والبلسم	ˈsaqaː tˤtˤaˈbiːb almaˈriːɮˤ attiˈrjaːq waˈːlbalsama	the physician gave the patient the antidote and the balsam	التِّرْيَاقَ;الْبَلْسَمَ	[medicine] integrated loans ترياق < Gk thēriakḗ 'antidote', بلسم < Gk bálsamon; classical medical lexicon (versteegh2001). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
arb-cs-008	حَمَلَتِ الْقَافِلَةُ قِنْطَارًا مِنَ الْفِلْفِلِ	حملت القافلة قنطارا من الفلفل	ħaˈmalati ˈlqaːfila qiˈntˤaːran ˈmina ˈlfilfil	the caravan carried a hundredweight of pepper	قِنْطَارًا;الْفِلْفِلِ	[commerce] integrated loans قنطار < Lat. centenarium, فلفل < Skt pippalī (via Persian); classical (versteegh2001). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
arb-cs-009	سَارَ الْبَرِيدُ عَلَى الصِّرَاطِ إِلَى الْقَصْرِ	سار البريد على الصراط إلى القصر	ˈsaːra lbaˈriːd ˈʕalaː sˤsˤiˈraːtˤ ˈʔilaː ˈlqasˤr	the courier travelled along the paved road to the palace	الْبَرِيدُ;الصِّرَاطِ	[state] integrated loans بريد < Lat. veredus 'post-horse', صراط < Lat. strata 'paved road'; classical administrative lexicon (versteegh2001). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
arb-cs-010	عَزَفَ الْمُغَنِّي الْمُوسِيقَى بِجَانِبِ الْفَانُوسِ	عزف المغني الموسيقى بجانب الفانوس	ˈʕazafa lmuˈɣanniː lmuˈːsiːqaː biˈdʒaːnibi lfaˈːnuːs	the singer played the music beside the lantern	الْمُوسِيقَى;الْفَانُوسِ	[music] integrated loans موسيقى < Gk mousikḗ, فانوس < Gk phanós 'lamp'; classical (versteegh2001). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
arb-cs-011	أَبْحَرَ الْأُسْطُولُ الْعَظِيمُ فِي الْبَحْرِ	أبحر الأسطول العظيم في البحر	ˈʔabħara lʔuˈstˤuːl alʕaˈðˤiːm ˈfiː ˈlbaħr	the great fleet sailed on the sea	الْأُسْطُولُ	[military] integrated loan أسطول < Gk stólos 'fleet'; classical military lexicon (versteegh2001). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
arb-cs-012	خَلَطَ الْعَطَّارُ الزَّنْجَبِيلَ بِالْعَسَلِ	خلط العطار الزنجبيل بالعسل	ˈxalatˤa lʕaˈtˤtˤaːr azzandʒaˈbiːl biˈlʕasali	the herbalist mixed the ginger with honey	الزَّنْجَبِيلَ	[medicine] integrated loan زنجبيل < Pali siṅgivera / Skt śṛṅgavera 'ginger'; classical (versteegh2001). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
arb-cs-013	أَهْدَى الْمَلِكُ خَاتَمًا مِنَ الْيَاقُوتِ الْأَحْمَرِ	أهدى الملك خاتما من الياقوت الأحمر	ˈʔahdaː ˈlmalik ˈxaːtaman ˈmina ljaˈːquːt aˈlʔaħmar	the king gifted a ring of red ruby	الْيَاقُوتِ	[gems] integrated loan ياقوت < Gk hyákinthos 'ruby/jacinth'; classical, read natively. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
arb-cs-014	نَظَرَ الْفَلَكِيُّ فِي الْإِسْطُرْلَابِ لَيْلًا	نظر الفلكي في الإسطرلاب ليلا	ˈnaðˤara lfalaˈkijj ˈfiː lʔistˤuˈrlaːb ˈlajlan	the astronomer looked into the astrolabe at night	الْإِسْطُرْلَابِ	[science] integrated loan إسطرلاب < Gk astrolábon; classical scientific lexicon (versteegh2001). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
arb-cs-015	بَاعَ الصَّائِغُ الْإِبْرِيزَ الْخَالِصَ لِلْأَمِيرِ	باع الصائغ الإبريز الخالص للأمير	ˈbaːʕa ˈsˤsˤaːʔiɣ alʔiˈbriːz aˈlxaːlisˤ lilʔaˈmiːri	the goldsmith sold pure gold to the prince	الْإِبْرِيزَ	[commerce] integrated loan إبريز 'pure gold' < Gk ápyros; classical (versteegh2001). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
arb-cs-016	خَتَمَ الْوَزِيرُ الْكِتَابَ بِالطَّابَعِ الْمَلَكِيِّ	ختم الوزير الكتاب بالطابع الملكي	ˈxatama lwaˈziːr alkiˈtaːb biˈltˤtˤaːbaʕ almalaˈkijj	the vizier sealed the book with the royal seal	الْوَزِيرُ	[state] integrated loan وزير < Middle Persian vičīr 'minister'; classical administrative lexicon (versteegh2001). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
arb-cs-017	لَبِسَتِ الْمَلِكَةُ عِقْدًا مِنَ الْمَرْجَانِ	لبست الملكة عقدا من المرجان	laˈbisati ˈlmalika ˈʕiqdan ˈmina lmaˈrdʒaːn	the queen wore a necklace of coral	الْمَرْجَانِ	[gems] integrated loan مرجان < Gk / Aramaic margānā 'pearl/coral'; classical. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
