id	sentence	raw	ipa	gloss_en	cs_words	notes	pipeline_status
ar-x-levantine-cs-001	بِدِّي أَبْعَت email لِلْمُدِير هَلَّق	بدي أبعت email للمدير هلق	ˈbiddiː ˈʔabʕat imeːl lilmuˈdiːr ˈhallaʔ	I want to send an email to the manager now	email	[tech] email→imeːl. table: Levantine (Al-Saidat 2011; Cowell 1964)	pinned
ar-x-levantine-cs-002	عِنْدِي meeting مُهِمّ مَعَ manager هَلَّق	عندي meeting مهم مع manager هلق	ˈʕindiː miːtinɡ muˈhimm ˈmaʕa manadʒar ˈhallaʔ	I have an important meeting with a manager now	meeting;manager	[work] meeting→miːtinɡ; manager→manadʒar. node rank-1: ق→[ʔ] (لقيت→laˈʔiːt), ج→[ʒ], ay→[eː]; the Levantine table keeps loan /dʒ/ (manager→manadʒar) and the node declares /ɡ/ (garage→ɡaːradʒ) (almbark2015; cowell1964; fadda2016). table: Levantine (Al-Saidat 2011; Cowell 1964)	pinned
ar-x-levantine-cs-003	فِي offer مْنِيح وْ discount كْبِير	في offer منيح و discount كبير	ˈfiː ufar ˈmniːħ w disawnt ˈkbiːr	there is a good offer and a big discount	offer;discount	[commerce] offer→ufar; discount→disawnt. table: Levantine (Al-Saidat 2011; Cowell 1964)	pinned
ar-x-levantine-cs-004	لَازِم نَعْمَل update لِلْبَرْنَامِج هَلَّق	لازم نعمل update للبرنامج هلق	ˈlaːzim ˈnaʕmal abdat lilbarˈnaːmiʒ ˈhallaʔ	we have to do an update for the program now	update	[tech] update→abdat. table: Levantine (Al-Saidat 2011; Cowell 1964)	pinned
ar-x-levantine-cs-005	شُفْت video مْنِيح عَلَى online	شفت video منيح على online	ˈʃuft fidiu ˈmniːħ ˈʕalaː unlin	I saw a nice video online	video;online	[media] video→fidiu; online→unlin. table: Levantine (Al-Saidat 2011; Cowell 1964)	pinned
ar-x-levantine-cs-006	نَسِيت password تَاع email	نسيت password تاع email	naˈsiːt baswuːrd ˈtaːʕ imeːl	I forgot the password of the email	password;email	[tech] password→baswuːrd; email→imeːl. table: Levantine (Al-Saidat 2011; Cowell 1964)	pinned
ar-x-levantine-cs-007	مِش عَارِف بَسّ أَنَا think هَادَا project غَالِي	مش عارف بس أنا think هادا project غالي	ˈmiʃ ˈʕaːrif ˈbass ˈʔanaː θink ˈhaːdaː brudʒikt ˈɣaːliː	I don't know but I think this project is expensive	think;project	[work] think→θink; project→brudʒikt. table: Levantine (Al-Saidat 2011; Cowell 1964)	pinned
ar-x-levantine-cs-008	delivery يُوصَل بُكْرَة وْ الدَّفْع cash	delivery يوصل بكرة و الدفع cash	dilifari ˈjuːsˤɑl ˈbukra w ˈddafʕ kaʃ	the delivery arrives tomorrow and payment is cash	delivery;cash	[commerce] delivery→dilifari; cash→kaʃ. table: Levantine (Al-Saidat 2011; Cowell 1964)	pinned
ar-x-levantine-cs-009	service مِش مْنِيح وْ delivery مِتْأَخِّر	service مش منيح و delivery متأخر	sarfis ˈmiʃ ˈmniːħ w dilifari mitˈʔaxxir	the service is not good and the delivery is late	service;delivery	[commerce] service→sarfis; delivery→dilifari. table: Levantine (Al-Saidat 2011; Cowell 1964)	pinned
ar-x-levantine-cs-010	عِنْدِي laptop جَدِيد بَسّ wifi بَطِيء	عندي laptop جديد بس wifi بطيء	ˈʕindiː labtub ʒaˈdiːd ˈbass wifi bɑˈtˤiːʔ	I have a new laptop but the wifi is slow	laptop;wifi	[tech] laptop→labtub; wifi→wifi. table: Levantine (Al-Saidat 2011; Cowell 1964)	pinned
ar-x-levantine-cs-011	ابْعَتْلِي link عَلَى message	ابعتلي link على message	ibʕtaˈlijj link ˈʕalaː misadʒ	send me the link on a message	link;message	[tech] link→link; message→misadʒ. table: Levantine (Al-Saidat 2011; Cowell 1964)	pinned
ar-x-levantine-cs-012	بِدِّي أَشْتَرِي online بَسّ مَا لَقِيت offer	بدي أشتري online بس ما لقيت offer	ˈbiddiː ˈʔaʃtariː unlin ˈbass ˈmaː laˈʔiːt ufar	I want to buy online but I did not find an offer	online;offer	[commerce] online→unlin; offer→ufar. node rank-1: ق→[ʔ] (لقيت→laˈʔiːt), ج→[ʒ], ay→[eː]; the Levantine table keeps loan /dʒ/ (manager→manadʒar) and the node declares /ɡ/ (garage→ɡaːradʒ) (almbark2015; cowell1964; fadda2016). table: Levantine (Al-Saidat 2011; Cowell 1964)	pinned
ar-x-levantine-cs-013	وَدِّيت السَّيَّارَة سَرْفِيس هَلَّق	وديت السيارة سرفيس هلق	wadˈdiːt assajˈjaːra sarˈfiːs ˈhallaʔ	I took the car for a service now	سَرْفِيس	[automotive] loan سرفيس 'service (station)' → read natively (/v/-loan spelt with ف); attested colloquial [sarˈfiːs] (badawi-hinds1986 s.v. سرفيس). table: Levantine (Al-Saidat 2011; Cowell 1964)	pinned
ar-x-levantine-cs-014	دَفَعْت كَاش مُو بِكَرْت	دفعت كاش مو بكرت	daˈfaʕt ˈkaːʃ ˈmuː biˈkart	I paid cash not by card	كَاش	[commerce] loans كاش 'cash' → [kaːʃ] and كرت 'card' → [kart], both attested pan-Arabic (badawi-hinds1986 s.v. كاش, كارت). table: Levantine (Al-Saidat 2011; Cowell 1964)	pinned
ar-x-levantine-cs-015	الْعَجَلَة فِيهَا بَنْشَر لَازِم أَصَلِّحْهَا	العجلة فيها بنشر لازم أصلحها	alˈʕaʒala ˈfiːhaː ˈbanʃar ˈlaːzim ʔɑsˤɑlˈliħhaː	the wheel has a puncture, I have to fix it	بَنْشَر	[automotive] loan بنشر 'puncture' → [banʃar], attested colloquial (badawi-hinds1986 s.v. بنشر). table: Levantine (Al-Saidat 2011; Cowell 1964)	pinned
ar-x-levantine-cs-016	حَجَزْت تَاكْسِي مِنَ الْمَطَار	حجزت تاكسي من المطار	ħaˈʒazt ˈtaːksiː ˈmina lmɑˈtˤɑːr	I booked a taxi from the airport	تَاكْسِي	[daily] loan تاكسي 'taxi' → [taksiː], fully integrated pan-Arabic loan (Wehr s.v.). table: Levantine (Al-Saidat 2011; Cowell 1964)	pinned
ar-x-levantine-cs-017	اِشْتَرَيْت كَرْت شِحْن جَدِيد	اشتريت كرت شحن جديد	iʃtaˈreːt ˈkart ˈʃiħn ʒaˈdiːd	I bought a new top-up card	كَرْت	[commerce] loan كرت 'card' → [kart] (/p/-free; final cluster), attested pan-Arabic (badawi-hinds1986 s.v. كارت). table: Levantine (Al-Saidat 2011; Cowell 1964)	pinned
ar-x-levantine-cs-018	keefak el yom 7abibi	keefak el yom 7abibi	ˈkiːfak aˈljoːm ħaˈbiːbiː	how are you today, dear	7abibi	[daily] Arabizi (7=ح; spells كيفك اليوم حبيبي). The node's pipeline has no Latin-as-Arabic path (translit never sniffs a Latin run as Arabic); ipa = the node reading of the Arabic it spells. table: Levantine (Al-Saidat 2011; Cowell 1964)	unsupported
ar-x-levantine-cs-019	baddi rou7 3al beit hallaq	baddi rou7 3al beit hallaq	ˈbiddiː ˈruːħ ʕaˈːlbeːt ˈhallaʔ	I want to go home now	rou7;3al	[daily] Arabizi (7=ح, 3=ع; spells بدي روح عالبيت هلق). The node's pipeline has no Latin-as-Arabic path (translit never sniffs a Latin run as Arabic); ipa = the node reading of the Arabic it spells. table: Levantine (Al-Saidat 2011; Cowell 1964)	unsupported
ar-x-levantine-cs-020	shu axbarak ya 3ammi	shu axbarak ya 3ammi	ˈʃuː ʔaˈxbaːrak ˈjaː ˈʕammiː	what's your news, man	3ammi	[daily] Arabizi (3=ع; spells شو أخبارك يا عمي). The node's pipeline has no Latin-as-Arabic path (translit never sniffs a Latin run as Arabic); ipa = the node reading of the Arabic it spells. table: Levantine (Al-Saidat 2011; Cowell 1964)	unsupported
