id	sentence	raw	ipa	gloss_en	cs_words	notes	pipeline_status
ar-SA-x-sharqiyya-cs-001	أَبِي أَبْعَت email لِلْمُدِير الْحِين	أبي أبعت email للمدير الحين	ˈʔabiː ˈʔabʕat imeːl lilmuˈdiːr aˈlħiːn	I want to send an email to the manager now	email	[tech] email→imeːl (Gulf has the mid long /eː/, so no projection — contrast the conservative Rijāl Almaʿ [imiːl]). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-SA-x-sharqiyya-cs-002	عِنْدِي meeting مُهِمّ مَعَ الْمُدِير الْجَدِيد	عندي meeting مهم مع المدير الجديد	ˈʕindiː miːtinɡ muˈhimm ˈmaʕa lmuˈdiːr aljaˈdiːd	I have an important meeting with the new manager	meeting	[work] meeting→miːtinɡ (/ŋ/→[nɡ]). native ج in الْجَدِيد → [j] Baḥārna ǧīm-lenition, the defining Sharqiyya/Qaṭīfi delta (holes2004; johnstone1967; altaisan2022). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-SA-x-sharqiyya-cs-003	laptop حَقِّي خَرْبَان وْ الشَّاشَة مَكْسُورَة	laptop حقي خربان و الشاشة مكسورة	labtub ˈħaɡɡiː xaˈrbaːn w ˈʃʃaːʃa maˈksuːra	my laptop is broken and the screen is cracked	laptop	[tech] laptop→labtub (/p/→[b]). حَقّ possessive [ħaɡɡ] — ق→[ɡ] Gulf reflex (altaisan2022). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-SA-x-sharqiyya-cs-004	نَزَّلْت file بَسّ download بَطِيء	نزلت file بس download بطيء	naˈzzalt fil ˈbass dawnloːud bɑˈtˤiːʔ	I downloaded a file but the download is slow	file;download	[tech] file→fil; download→dawnloːud (/aʊ/→[oːu]; Gulf mid vowel available). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-SA-x-sharqiyya-cs-005	مَا لِقِيت password حَقّ email	ما لقيت password حق email	ˈmaː liˈdʒiːt baswuːrd ˈħaɡɡ imeːl	I did not find the password of the email	password;email	[tech] password→baswuːrd; email→imeːl. native لِقِيت → [lidʒiːt]: the Gulf [ɡ]-reflex of ق AFFRICATES to [dʒ] before a front vowel (holes2004; altaisan2022) — a second, distinct source of [dʒ] alongside the ج-lenition. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-SA-x-sharqiyya-cs-006	الْجَوَّال حَقِّي يِبِي update الْحِين	الجوال حقي يبي update الحين	aljaˈwwaːl ˈħaɡɡiː ˈjibiː abdat aˈlħiːn	my phone needs an update now	update	[tech] update→abdat. native ج in الْجَوَّال → [j] and يِبِي → [jibiː] ǧīm-lenition (holes2004; johnstone1967). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-SA-x-sharqiyya-cs-007	شُفْت video زَيْن عَلَى online	شفت video زين على online	ˈʃuft fidiu ˈzeːn ˈʕalaː unlin	I saw a good video online	video;online	[daily] video→fidiu (/v/→[f]); online→unlin. زَين → [zeːn] Gulf mid vowel. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-SA-x-sharqiyya-cs-008	charger حَقِّي مُو زَيْن وْ الْبَطَّارِيَّة خَلْصَت	charger حقي مو زين و البطارية خلصت	ʃaːrdʒar ˈħaɡɡiː ˈmuː ˈzeːn w lbɑtˤtˤɑˈːrijja ˈxalsˤɑt	my charger is not good and the battery is empty	charger	[tech] charger→ʃaːrdʒar (/tʃ/→[ʃ], loan /dʒ/ kept — this loan [dʒ] does NOT lenite to [j], see row 010). Gulf مُو negation. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-SA-x-sharqiyya-cs-009	دَفَعْت cash مُو بِكَرْت	دفعت cash مو بكرت	daˈfaʕt kaʃ ˈmuː biˈkart	I paid cash not by card	cash	[commerce] cash→kaʃ. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-SA-x-sharqiyya-cs-010	وَدِّيت السَّيَّارَة garage عَقُب الدَّوَام	وديت السيارة garage عقب الدوام	waˈddiːt assaˈjjaːra ɡaːradʒ ˈʕaɡub addaˈwaːm	I took the car to the garage after work	garage	[automotive] garage→[ɡaːradʒ]: PROBE RESULT — the ǧīm-lenition ج→[j] is a GRAPHEME rule on Arabic script and does NOT reach the loan-internal [dʒ], which nativisation inserts directly as a donor phoneme (final /ʒ/→[dʒ]). So garage keeps a hard [dʒ] even though native جديد→[jaˈdiːd] lenites — the interaction the brief asked to document. native عَقُب → [ʕaɡub], ق→[ɡ] (johnstone1967). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-SA-x-sharqiyya-cs-011	هَذَا model جَدِيد وْ automatic	هذا model جديد و automatic	ˈhaðaː mudil jaˈdiːd w aatumatik	this model is new and automatic	model;automatic	[automotive] model→mudil; automatic→aatumatik. native ج in جَدِيد → [jaˈdiːd] ǧīm-lenition (holes2004). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-SA-x-sharqiyya-cs-012	sorry تَأَخَّرْت عَلَى meeting	sorry تأخرت على meeting	suːri taʔaˈxxart ˈʕalaː miːtinɡ	sorry, I was late for the meeting	sorry;meeting	[daily] sorry→suːri; meeting→miːtinɡ. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-SA-x-sharqiyya-cs-013	السَّيَّارَة رَاحَت سَرفِيس الصُّبُح	السيارة راحت سرفيس الصبح	assaˈjjaːra ˈraːħat saˈrfiːs ˈɑsˤsˤubuħ	the car went for a service in the morning	سَرفِيس	[automotive] loan سَرفِيس 'service station' → saˈrfiːs (/v/→[f]); attested [sarfiːs] (Holes 2004). pipeline matches. table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-SA-x-sharqiyya-cs-014	دَفَعْت كَاش مَا فِيه مَشَاكِل	دفعت كاش ما فيه مشاكل	daˈfaʕt ˈkaːʃ ˈmaː ˈfiːh maˈʃaːtʃil	I paid cash, there are no problems	كَاش	[commerce] loan كَاش 'cash' → kaːʃ, matches attested [kaːʃ] (Holes 2004). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-SA-x-sharqiyya-cs-015	السَّيَّارَة فِيهَا بَنشَر لَازِم أَصَلِّحهَا	السيارة فيها بنشر لازم أصلحها	assaˈjjaːra ˈfiːhaː ˈbanʃar ˈlaːzim ʔɑsˤɑˈlliħhaː	the car has a puncture, I must fix it	بَنشَر	[automotive] loan بَنشَر 'puncture' → banʃar, matches attested [banʃar] (Holes 2004). table: default pan-Arabic (Watson 2002; Holes 2004)	pinned
ar-SA-x-sharqiyya-cs-016	الْمُوبَايِل حَقِّي ضَاع	الموبايل حقي ضاع	almoːˈbaːjil ˈħaɡɡiː ˈdˤɑːʕ	my mobile is lost	الْمُوبَايِل	[tech] loan موبايل 'mobile'; attested Gulf [moːbaːjil] with the mid vowel [oː] (Holes 2004). PIPELINE WRONG: emits [almuːbaːjil] — reads و as [uː] not the loan mid [oː], and misplaces stress inside the length mark ([almuˈːbaːjil]). Correct loan IPA pinned; unlike Rijāl Almaʿ, Sharqiyya HAS [oː], so [uː] is genuinely wrong here. native ض ضَاع → [dˤ] (Gulf, no laterals). table: default pan-Arabic (Watson 2002; Holes 2004)	known-wrong
ar-SA-x-sharqiyya-cs-017	عِنْدِي تِلِفِزيُون جَدِيد فِي الصَّالَة	عندي تلفزيون جديد في الصالة	ˈʕindiː tilifizˈjoːn jaˈdiːd ˈfiː sˤˈsˤaːla	I have a new television in the living room	تِلِفِزيُون	[daily] loan تلفزيون 'television'; attested Gulf [tilifizjoːn] (Holes 2004). PIPELINE WRONG: emits [tilifiˈzjuːn] — reads و as [uː] instead of the loan mid [oː]. Correct loan IPA pinned. native ج in جَدِيد → [j] ǧīm-lenition. table: default pan-Arabic (Watson 2002; Holes 2004)	known-wrong
