id	sentence	raw	ipa	gloss_en	cs_words	notes
ar-SA-x-janubi-cs-001	أُرِيد أَبْعَت email لِلْمُدِير الْآن	أريد أبعت email للمدير الآن	ʔuˈriːd ˈʔabʕat iːmiːl lilmuˈdiːr alˈʔaːn	I want to send an email to the manager now	email	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-SA-x-janubi is a stub spec whose grapheme table is inherited, so the reading describes its parent.] [tech] email→iːmiːl. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-janubi-cs-002	عِنْدِي laptop جَدِيد بَسّ wifi بَطِيء	عندي laptop جديد بس wifi بطيء	ˈʕindiː labtub dʒaˈdiːd ˈbass wifi bɑˈtˤɪːʔ	I have a new laptop but the wifi is slow	laptop;wifi	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-SA-x-janubi is a stub spec whose grapheme table is inherited, so the reading describes its parent.] [tech] laptop→labtub; wifi→wifi. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-janubi-cs-003	لَازِم نَعْمَل update لِلْبَرْنَامِج الْآن	لازم نعمل update للبرنامج الآن	ˈlaːzim ˈnaʕmal abdiːt lilbarˈnaːmidʒ alˈʔaːn	we have to do an update for the program now	update	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-SA-x-janubi is a stub spec whose grapheme table is inherited, so the reading describes its parent.] [tech] update→abdiːt. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-janubi-cs-004	نَزَّلْت file بَسّ download بَطِيء	نزلت file بس download بطيء	nazˈzalt fajl ˈbass dawnluːd bɑˈtˤɪːʔ	I downloaded a file but the download is slow	file;download	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-SA-x-janubi is a stub spec whose grapheme table is inherited, so the reading describes its parent.] [tech] file→fajl; download→dawnluːd. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-janubi-cs-005	نَسِيت password تَاع email	نسيت password تاع email	naˈsiːt baːswaːrd ˈtaːʕ iːmiːl	I forgot the password of the email	password;email	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-SA-x-janubi is a stub spec whose grapheme table is inherited, so the reading describes its parent.] [tech] password→baːswaːrd; email→iːmiːl. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-janubi-cs-006	ابْعَتْلِي link عَلَى message	ابعتلي link على message	ʔibˈʕatliː link ˈʕalaː misidʒ	send me the link on a message	link;message	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-SA-x-janubi is a stub spec whose grapheme table is inherited, so the reading describes its parent.] [tech] link→link; message→misidʒ. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-janubi-cs-007	عِنْدِي meeting مُهِمّ مَعَ manager	عندي meeting مهم مع manager	ˈʕindiː miːtinɡ muˈhimm ˈmaʕa manidʒar	I have an important meeting with a manager	meeting;manager	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-SA-x-janubi is a stub spec whose grapheme table is inherited, so the reading describes its parent.] [tech] meeting→miːtinɡ; manager→manidʒar. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-janubi-cs-008	شُفْت video عَلَى online	شفت video على online	ˈʃuft fiːdjo ˈʕalaː unlajn	I saw a video online	video;online	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-SA-x-janubi is a stub spec whose grapheme table is inherited, so the reading describes its parent.] [tech] video→fiːdjo; online→unlajn. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-janubi-cs-009	فِي offer جَيِّد وْ discount كْبِير	في offer جيد و discount كبير	fiː ufar ˈdʒajjid w diskawnt ˈkbiːr	there is a good offer and a big discount	offer;discount	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-SA-x-janubi is a stub spec whose grapheme table is inherited, so the reading describes its parent.] [commerce] offer→ufar; discount→diskawnt. table: default pan-Arabic (Watson 2002; Holes 2004)
ar-SA-x-janubi-cs-010	delivery يُوصَل بُكْرَة وْ الدَّفْع cash	delivery يوصل بكرة و الدفع cash	dilifari ˈjʊːsˤɑl ˈbukra w adˈdafʕ kaʃ	delivery arrives tomorrow and payment is cash	delivery;cash	[GENERATED — ipa is pipeline output, not a checked transcription; this row detects a CHANGE in output, not correctness. ar-SA-x-janubi is a stub spec whose grapheme table is inherited, so the reading describes its parent.] [commerce] delivery→dilifari; cash→kaʃ. table: default pan-Arabic (Watson 2002; Holes 2004)
