# latin	arabic_form	form_kind	source_url	date_read
1 SERIES	الفئة الأولى	distributor-site	https://www.bmw-saudiarabia.com/ar/all-models.html	2026-09-19
2 SERIES	الفئة الثانية	distributor-site	https://www.bmw-saudiarabia.com/ar/all-models.html	2026-09-19
4 SERIES	الفئة الرابعة	distributor-site	https://www.bmw-saudiarabia.com/ar/all-models.html	2026-09-19
5 SERIES	الفئة الخامسة	distributor-site	https://www.bmw-saudiarabia.com/ar/all-models.html	2026-09-19
7 SERIES	الفئة السابعة	distributor-site	https://www.bmw-saudiarabia.com/ar/all-models.html	2026-09-19
8 SERIES	الفئة الثامنة	distributor-site	https://www.bmw-saudiarabia.com/ar/all-models.html	2026-09-19
A-CLASS	الفئة A	distributor-site	https://www.mercedes-benz-mena.com/ksa/ar/	2026-09-20
ACADIA	أكاديا	distributor-site	https://gmc.ar.aljomaihauto.com/new-vehicles/	2026-09-19
ACCENT	أكسنت	distributor-site	https://hyundaiksa.com/ar/mynaghi/models/accent	2026-09-19
ACCENT	اكسنت	marketplace	https://ksa.yallamotor.com/ar/new-cars/hyundai	2026-09-19
ACCORD	أكورد	brand-site	https://honda-mideast.com/ar-sa	2026-09-20
ALTIMA	ألتيما	brand-site	https://ar.nissan-saudiarabia.com/	2026-09-19
AZERA	أزيرا	marketplace	https://ksa.yallamotor.com/ar/new-cars/hyundai	2026-09-19
BAIC	بايك	marketplace	https://www.salehcars.com/	2026-09-20
Bentley	بنتلي	marketplace	https://www.salehcars.com/	2026-09-20
BMW	بي ام دبليو	marketplace	https://www.salehcars.com/	2026-09-20
BRONCO	برونكو	distributor-site	https://ar.aljazirahford.com/	2026-09-20
BYD	بي واي دي	marketplace	https://www.salehcars.com/	2026-09-20
Cadillac	كاديلاك	brand-site	https://www.cadillacarabia.com/sa-ar	2026-09-20
CAMRY	كامري	distributor-site	https://www.toyota.com.sa/ar	2026-09-20
CANYON	كانيون	distributor-site	https://gmc.ar.aljomaihauto.com/new-vehicles/	2026-09-19
CAPTIVA	كابتيفا	distributor-site	https://chevrolet.ar.aljomaihauto.com/new-vehicles/	2026-09-19
CARENS	كارينز	distributor-site	https://www.kia.com/sa/ar/	2026-09-19
Changan	شانجان	marketplace	https://www.salehcars.com/	2026-09-20
Chery	شيري	marketplace	https://www.salehcars.com/	2026-09-20
Chevrolet	شفروليه	marketplace	https://www.salehcars.com/	2026-09-20
Chrysler	كرايسلر	marketplace	https://www.salehcars.com/	2026-09-20
CITY	سيتي	brand-site	https://honda-mideast.com/ar-sa	2026-09-20
CITYRAY	سيتي راي	brand-site	https://geelyksa.com/?lang=ar	2026-09-19
CIVIC	سيفيك	brand-site	https://honda-mideast.com/ar-sa	2026-09-20
COMMANDER	كوماندر	brand-site	https://www.jeep-saudi.com/ar/	2026-09-19
COOLRAY	كولراي	brand-site	https://geelyksa.com/?lang=ar	2026-09-19
CORVETTE	كورفيت	distributor-site	https://chevrolet.ar.aljomaihauto.com/new-vehicles/	2026-09-19
CRETA	كريتا	distributor-site	https://hyundaiksa.com/ar/mynaghi/models/creta	2026-09-19
CRETA	كريتا	marketplace	https://ksa.yallamotor.com/ar/new-cars/hyundai	2026-09-19
CROWN	كراون	distributor-site	https://www.toyota.com.sa/ar	2026-09-20
CRUZE	كروز	distributor-site	https://chevrolet.ar.aljomaihauto.com/new-vehicles/	2026-09-19
Deepal	ديبال	marketplace	https://www.salehcars.com/	2026-09-20
DEFENDER	ديفيندر	brand-site	https://www.landrover-saudi.com/ar/	2026-09-20
DESTINATOR	ديستنيتور	distributor-site	https://mitsubishi-motors.com.sa/	2026-09-20
DESTINATOR	ديستينيتور	distributor-site	https://mitsubishi-motors.com.sa/	2026-09-20
DISCOVERY	ديسكڤري	brand-site	https://www.landrover-saudi.com/ar/	2026-09-20
Dodge	دودج	marketplace	https://www.salehcars.com/	2026-09-20
Dongfeng	دونج فينج	marketplace	https://www.salehcars.com/	2026-09-20
ECLIPSE CROSS	إكليبس كروس	distributor-site	https://mitsubishi-motors.com.sa/	2026-09-20
ECLIPSE CROSS	اكليبس كروس	distributor-site	https://mitsubishi-motors.com.sa/	2026-09-20
ELANTRA	إلنترا	distributor-site	https://hyundaiksa.com/ar/mynaghi/models/elantra	2026-09-19
